"user_id","email","first_name","h_address","h_city","h_state","h_zip","is_accepting_rides","is_active","is_driver","last_name","phone_number","user_name","w_address","w_city","w_state","w_zip","batch_number"
"1","sdagless0@google.it","Sonni","3400 University Ave","Morgantown","WV","26505","False","True","False","Dagless","732-721-4564","sdagless0","61 Maryland Road","Sarasota","FL","34233","18"
"2","wherries1@com.com","Wash","500 Koehler Dr.","Morgantown","WV","26505","True","True","False","Herries","859-834-3129","wherries1","0 Oriole Avenue","Norfolk","VA","23520","5"
"3","dbelhome2@ihg.com","Devondra","40 High St,","Morgantown","WV","26505","True","False","False","Belhome","970-961-4728","dbelhome2","0 Monterey Point","El Paso","TX","88558","19"
"4","mgooley3@live.com","Maible","68112 Brentwood Street","Akron","NY","44315","True","False","False","Gooley","585-247-1043","mgooley3","507 Carey Road","Washington","DC","20566","4"
"5","clockery4@weibo.com","Chaim","6713 Menomonie Circle","Morgantown","MO","88563","False","True","True","Lockery","816-980-9564","clockery4","7137 Ruskin Place","Salt Lake City","UT","84110","2"
"6","boris5@europa.eu","Brandice","500 Suncrest Towne Centre Drive","Morgantown","MA","26505","True","False","True","Oris","508-515-3750","boris5","24 Sutteridge Crossing","Colorado Springs","CO","80905","9"
"7","dgammell6@usatoday.com","Donica","98 Muir Circle","Morgantown","WV","68524","False","True","False","Gammell","775-634-7923","dgammell6","9262 Rusk Court","Charlotte","NC","28210","19"
"8","iseifenmacher7@xinhuanet.com","Iver","4 Bartelt Road","Montgomery","AL","85732","True","True","False","Seifenmacher","334-434-5543","iseifenmacher7","12416 Blue Bill Park Way","Portland","OR","97296","11"
"9","atinn8@usgs.gov","Adrea","9916 Delaware Crossing","Los Angeles","CA","34981","False","True","True","Tinn","323-172-4902","atinn8","49791 American Park","Saint Louis","MO","63110","8"
"10","knevitt9@meetup.com","Kerry","496 High St., Suite 200","Morgantown","DC","26505","True","False","True","Nevitt","202-384-5378","knevitt9","97007 Dayton Pass","Atlanta","GA","30301","2"
